task_id,rectangle,task_name
127,1956,20.10.07 dw02-1 FACE_SDG_1005_BUILDING_B Building_A1139-1144_T21
128,1444,20.10.07 us01-1 FACE_SDG_1005_BUILDING_B Building_A1148-1153_T21
130,1067,20.10.07 nh01-1 FACE_SDG_1005_BUILDING_B Building_P0243-0248_T21
131,2724,20.10.07 nh02-2 FACE_SDG_1006_BUILDING_A Building_A1043-1048_T24
132,3178,20.10.07 nh03-2 FACE_SDG_1006_BUILDING_A Building_A1050_1055_T24
133,2828,20.10.07 nh04-2 FACE_SDG_1006_BUILDING_A Building_A1108-1113_T24
134,3413,20.10.07 nh05-2 FACE_SDG_1006_BUILDING_A Building_A1116-1121_T24
135,3038,20.10.07 dw01-2 FACE_SDG_1006_BUILDING_A Building_A1132-1137_T24
136,2189,20.10.07 dw02-2 FACE_SDG_1006_BUILDING_A Building_A1138-1143_T24
138,2855,20.10.07 us01-2 FACE_SDG_1006_BUILDING_A Building_A1146-1151_T24
140,598,20.10.08 nh02-1 HUMAN_SDG_0928_BUILDING Building_P0425-0430_T24
141,1526,20.10.08 nh03-1 HUMAN_SDG_0928_BUILDING Building_P0440-0445_T24
142,1020,20.10.08 nh04-1 HUMAN_SDG_0928_BUILDING Building_P0445-0450_T24
143,777,20.10.08 nh05-1 HUMAN_SDG_0929_BUILDING Building_A1021-1026_T24
144,1831,20.10.08 dw01-1 HUMAN_SDG_0929_BUILDING Building_A1032-1037_T24
146,1612,20.10.08 dw02-1 HUMAN_SDG_0928_BUILDING Building_P0412-0417_T24
147,1971,20.10.07 dw02-1 HUMAN_SDG_0929_BUILDING Building_A1116-1121_T24
148,1674,20.10.12 nh05-2 HUMAN_SDG_0929_BUILDING Building_A1133-1138_T24
149,2402,20.10.08 nh02-2 HUMAN_SDG_1005_BUILDING_A Building_A1129-1134_T21
150,2421,20.10.07 nh03-2 HUMAN_SDG_1005_BUILDING_A Building_A1139-1144_T21
151,2386,20.10.08 nh04-2 HUMAN_SDG_1005_BUILDING_A Building_A1148-1153_T21
152,2291,20.10.08 nh05-2 HUMAN_SDG_1005_BUILDING_A Building_P0112-0117_T21
153,2131,20.10.08 dw01-2 HUMAN_SDG_1005_BUILDING_A Building_P0127-0133_T21
154,2691,20.10.08 dw02-2 HUMAN_SDG_1005_BUILDING_A Building_P0135-0140_T21
155,1858,20.10.07 us01-2 HUMAN_SDG_1005_BUILDING_A Building_P0143-0148_T21
157,1415,20.10.08 nh02-3 HUMAN_SDG_1005_BUILDING_A Building_P0223-0228_T21
158,1103,20.10.07 nh03-3 HUMAN_SDG_1005_BUILDING_A Building_P0250-0255_T21
159,1837,20.10.08 nh04-3 HUMAN_SDG_1005_BUILDING_A Building_P0319-0324_T21
160,1705,20.10.08 nh05-3 HUMAN_SDG_1005_BUILDING_A Building_P0329-0334_T21
161,1082,20.10.08 dw01-3 HUMAN_SDG_1005_BUILDING_B Building_A0250-0255_T21
162,2113,20.10.08 dw02-3 HUMAN_SDG_1005_BUILDING_B Building_A1118-1123_T21
163,1832,20.10.08 us01-3 HUMAN_SDG_1005_BUILDING_B Building_A1128-1132_T21
164,1867,20.10.08 nh02-4 HUMAN_SDG_1005_BUILDING_B Building_A1139-1144_T21
165,1962,20.10.08 nh03-4 HUMAN_SDG_1005_BUILDING_B Building_A1148-1153_T21
166,1463,20.10.08 nh04-4 HUMAN_SDG_1005_BUILDING_B Building_P0243-0248_T21
167,1490,20.10.08 nh05-4 HUMAN_SDG_1005_BUILDING_B Building_P0243-0248_T21
168,2724,20.10.08 dw01-4 HUMAN_SDG_1006_BUILDING Building_A1043-1048_T24
169,2743,20.10.08 dw02-4 HUMAN_SDG_1006_BUILDING Building_A1050_1055_T24
170,2294,20.10.08 us01-4 HUMAN_SDG_1006_BUILDING Building_A1108-1113_T24
171,2822,20.10.12 nh04-1 HUMAN_SDG_1006_BUILDING Building_A1116-1121_T24
172,2610,20.10.12 nh02-1 HUMAN_SDG_1006_BUILDING Building_A1132-1137_T24
173,2095,20.10.12 nh03-1 HUMAN_SDG_1006_BUILDING Building_A1138-1143_T24
176,2534,20.10.12 nh05-1 HUMAN_SDG_1006_BUILDING Building_A1146-1151_T24
177,1520,20.10.12 dw02-1 CAR_CD_1005_ROAD Cheomdan_P0450-0455_T22
178,1567,20.10.12 dw01-1 CAR_CD_1005_ROAD Cheomdan_P0442-0447_T22
179,1315,20.10.12 us01-1 CAR_CD_1005_ROAD Cheomdan_P0456-0501_T22
180,1510,20.10.12 nh02-2 CAR_CD_1005_ROAD Cheomdan_P0502-0507_T22
181,2759,20.10.12 nh03-2 CAR_CD_1008_ROAD_A Cheomdan_P0136-0141_T24
182,1661,20.10.12 nh04-2 CAR_CD_1008_ROAD_A Cheomdan_P0142-0147_T24
183,2636,20.10.12 dw01-2 CAR_CD_1008_ROAD_A Cheomdan_P0151-0156_T24
184,3555,20.10.12 dw02-2 CAR_CD_1008_ROAD_A Cheomdan_P0158-0203_T24
185,1521,20.10.12 us01-2 CAR_CD_1008_ROAD_A Cheomdan_P0209-0214_T24
186,1284,20.10.12 nh02-3 CAR_CD_1008_ROAD_A Cheomdan_P0217-0222_T24
187,1299,20.10.12 nh03-3 CAR_CD_1008_ROAD_A Cheomdan_P0222-0227_T24
188,1141,20.10.12 nh04-3 CAR_CD_1008_ROAD_A Cheomdan_P0228-0232_T24
189,1584,20.10.12 dw01-3 CAR_CD_1008_ROAD_A Cheomdan_P0233-0238_T24
190,1842,20.10.12 dw02-3 CAR_CD_1008_ROAD_A Cheomdan_P0242-0247_T24
191,1924,20.10.12 us01-3 CAR_CD_1008_ROAD_A Cheomdan_P0250-0255_T24
192,1598,20.10.12 nh02-4 CAR_CD_1008_ROAD_A Cheomdan_P0257-0302_T24
193,1590,20.10.12 nh03-4 CAR_CD_1008_ROAD_A Cheomdan_P0303-0308_T24
194,2630,20.10.12 nh04-4 CAR_CD_1008_ROAD_A Cheomdan_P0317-0322_T24
195,2020,20.10.12 nh05-4 CAR_CD_1008_ROAD_A Cheomdan_P0323-0328_T24
196,2722,20.10.12 dw01-4 CAR_CD_1008_ROAD_A Cheomdan_P0448-0453_T24
198,1135,20.10.12 dw02-4 CAR_CD_1008_ROAD_A Cheomdan_P0454-0459_T24
199,2280,20.10.12 us01-4 CAR_CD_1008_ROAD_A Cheomdan_P0500-0505_T24
200,1621,20.10.12 nh02-5 CAR_CD_1008_ROAD_A Cheomdan_P0507-0512_T24
201,2839,20.10.12 nh03-5 CAR_CD_1008_ROAD_A Cheomdan_P0513-0518_T24
202,1693,20.10.12 nh04-5 CAR_CD_1008_ROAD_A Cheomdan_P0519-0524_T24
203,1233,20.10.12 nh05-5 CAR_CD_1008_ROAD_A Cheomdan_P0525-0530_T24
204,1935,20.10.12 dw01-5 CAR_CD_1008_ROAD_B Cheomdan_P0135-0140_T24
205,1891,20.10.12 dw02-5 CAR_CD_1008_ROAD_B Cheomdan_P0141-0146_T24
206,332,20.10.12 us01-5 CAR_CD_1008_ROAD_B Cheomdan_P0141-0146_T24
208,472,20.10.12 nh02-6 CAR_CD_1008_ROAD_B Cheomdan_P0151-0156_T24
209,1680,20.10.12 nh03-6 CAR_CD_1008_ROAD_B Cheomdan_P0158-0203_T24
210,1316,20.10.12 nh04-6 CAR_CD_1008_ROAD_B Cheomdan_P0204-0209_T24
211,1852,20.10.12 nh05-6 CAR_CD_1008_ROAD_B Cheomdan_P0216-0221_T24
212,2147,20.10.12 dw01-6 CAR_CD_1008_ROAD_B Cheomdan_P0222-0227_T24
213,3459,20.10.12 dw02-6 CAR_CD_1008_ROAD_B Cheomdan_P0227-0232_T24
214,2124,20.10.12 us01-6 CAR_CD_1008_ROAD_B Cheomdan_P0233-0238_T24
215,1500,20.10.13 nh02-1 CAR_CD_1008_ROAD_B Cheomdan_P0251-0256_T24
216,1195,20.10.13 nh03-1 CAR_CD_1008_ROAD_B Cheomdan_P0257_0302_T24
217,2079,20.10.13 nh04-1 CAR_CD_1008_ROAD_B Cheomdan_P0307-0312_T24
218,1982,20.10.13 nh05-1 CAR_CD_1008_ROAD_B Cheomdan_P0324-0329_T24
219,3511,20.10.13 dw01-1 CAR_CD_1008_ROAD_B Cheomdan_P0450-0455_T24
220,2780,20.10.13 dw02-1 CAR_CD_1008_ROAD_B Cheomdan_P0455-0500_T24
221,1695,20.10.13 us01-1 CAR_CD_1008_ROAD_B Cheomdan_P0503-0508_T24
222,1384,20.10.13 nh02-2 CAR_CD_1008_ROAD_B Cheomdan_P0509-0514_T24
223,6403,20.10.13 nh03-2 CAR_CD_1012_ROAD_A Cheomdan_A1037-1042_T22
224,591,20.10.13 nh04-2 CAR_CD_1012_ROAD_A Cheomdan_A1044-1049_T22
225,7641,20.10.13 nh05-2 CAR_CD_1012_ROAD_A Cheomdan_A1049-1054_T22
226,8772,20.10.13 dw01-2 CAR_CD_1012_ROAD_A Cheomdan_A1055-1100_T22
228,7287,20.10.13 dw02-2 CAR_CD_1012_ROAD_A  Cheomdan_A1100-1105_T22
229,1573,20.10.13 us01-2 CAR_CD_1012_ROAD_A Cheomdan_A1108-1113_T22
230,625,20.10.13 nh02-3 CAR_CD_1012_ROAD_A Cheomdan_A1117-1122_T22
231,1550,20.10.13 nh03-3 CAR_CD_1012_ROAD_A Cheomdan_A1123-1128_T22
232,3297,20.10.13 nh04-3 CAR_CD_1012_ROAD_A Cheomdan_A1131-1136_T22
233,2262,20.10.13 nh05-3 CAR_CD_1012_ROAD_A Cheomdan_A1136-1141_T22
234,2329,20.10.13 dw01-3 CAR_CD_1012_ROAD_A Cheomdan_A1144-1149_T22
235,1721,20.10.13 dw02-3 CAR_CD_1012_ROAD_A Cheomdan_A1150-1155_T22
236,466,20.10.13 us01-3 CAR_CD_1012_ROAD_B Cheomdan_A1035-1040_T22
237,1114,20.10.13 nh02-4 CAR_CD_1012_ROAD_B Cheomdan_A1042-1047_T22
238,1382,20.10.13 nh03-4 CAR_CD_1012_ROAD_B Cheomdan_A1050-1055_T22
239,1329,20.10.13 nh04-4 CAR_CD_1012_ROAD_B Cheomdan_A1057-1102_T22
240,617,20.10.13 nh05-4 CAR_CD_1012_ROAD_B Cheomdan_A1106-1111_T22
241,821,20.10.13 dw01-4 CAR_CD_1012_ROAD_B Cheomdan_A1118-1123_T22
243,1679,20.10.13 dw02-4 CAR_CD_1012_ROAD_B Cheomdan_A1124-1129_T22
244,1932,20.10.13 us01-4 CAR_CD_1012_ROAD_B Cheomdan_A1131-1136_T22
245,2164,20.10.13 nh02-5 CAR_CD_1012_ROAD_B Cheomdan_A1136-1141_T22
246,2419,20.10.13 nh03-5 CAR_CD_1012_ROAD_B Cheomdan_A1145-1150_T22
247,1285,20.10.13 nh04-5 CAR_CD_1013_ROAD_A Cheomdan_A1046-1051_T20
248,1423,20.10.13 nh05-5 CAR_CD_1013_ROAD_A Cheomdan_A1052-1057_T20
249,1982,20.10.13 dw01-5 CAR_CD_1013_ROAD_A Cheomdan_A1131-1136_T20
250,1596,20.10.13 dw02-5 CAR_CD_1013_ROAD_A Cheomdan_A1138-1143_T20
251,4623,20.10.13 us01-5 CAR_CD_1013_ROAD_B Cheomdan_A1025-1030_T20
252,4300,20.10.14 nh02-1 CAR_CD_1013_ROAD_B Cheomdan_A1033-1038_T20
253,1674,20.10.14 nh03-1 CAR_CD_1013_ROAD_B Cheomdan_A1038-1043_T20
254,3131,20.10.14 nh04-1 CAR_CD_1013_ROAD_B Cheomdan_A1044-1049_T20
255,1811,20.10.14 nh05-1 CAR_CD_1013_ROAD_B Cheomdan_A1050-1055_T20
256,2409,20.10.14 dw01-1 CAR_CD_1013_ROAD_B Cheomdan_A1125-1130_T20
257,2698,20.10.14 dw02-1 CAR_CD_1013_ROAD_B Cheomdan_A1131-1136_T20
258,1734,20.10.14 nh02-2 CAR_CD_1013_ROAD_B Cheomdan_A1137-1142_T20
259,2810,20.10.14 nh03-2 CAR_CD_1013_ROAD Cheomdan_P0431-0436_T20
261,1394,20.10.14 nh04-2 CAR_CD_1013_ROAD Cheomdan_P0444-0449_T20
262,1651,20.10.14 nh05-2 CAR_CD_1013_ROAD Cheomdan_P0450-0455_T20
263,1720,20.10.14 dw01-2 CAR_CD_1013_ROAD Cheomdan_P0455-0500_T20
264,2095,20.10.14 nh02-3 HUMAN_SDG_1014_BUILDING Building_P0114-0146_T16
265,2417,20.10.14 nh03-3 HUMAN_SDG_1014_BUILDING Building_P0121-0126_T16
266,2474,20.10.14 nh04-3 HUMAN_SDG_1014_BUILDING Building_P0128-0133_T16
267,2270,20.10.14 nh05-3 HUMAN_SDG_1014_BUILDING Building_P0136-0141_T16
268,1994,20.10.14 dw01-3 HUMAN_SDG_1014_BUILDING Building_P0153-0158_T16
269,2223,20.10.14 dw02-3 HUMAN_SDG_1014_BUILDING Building_P0215-0220_T16
270,1866,20.10.14 nh02-4 CAR_CD_1014_ROAD Cheomdan_P0150-0155_T16
271,2037,20.10.14 nh03-4 CAR_CD_1014_ROAD Cheomdan_P0156-0201_T16
272,2588,20.10.14 nh04-4 CAR_CD_1014_ROAD Cheomdan_P0203-0208_T16
273,1206,20.10.14 dw02-4 CAR_CD_1014_ROAD Cheomdan_P0212-0217_T16
274,1759,20.10.14 nh05-4 CAR_CD_1014_ROAD Cheomdan_P0217-0222_T16
275,1489,20.10.14 dw01-4 CAR_CD_1014_ROAD Cheomdan_P0222-0227_T16
276,1229,20.10.14 nh02-5 CAR_CD_1014_ROAD Cheomdan_P0228-0233_T16
277,1175,20.10.14 nh03-5 CAR_CD_1014_ROAD Cheomdan_P0234-0239_T16
278,849,20.10.14 nh04-5 CAR_CD_1014_ROAD Cheomdan_P0239-0244_T16
279,1272,20.10.14 nh05-5 CAR_CD_1014_ROAD Cheomdan_P0239-0244_T16
280,1523,20.10.14 dw01-5 CAR_CD_1014_ROAD Cheomdan_P0251-0256_T16
281,1472,20.10.14 dw02-5 CAR_CD_1014_ROAD Cheomdan_P0256-0301_T16
282,2030,20.10.15 nh02-1 HUMAN_SDG_1014_PARKING Parking_P0259-0304_T16
283,2295,20.10.15 nh03-1 HUMAN_SDG_1014_PARKING Parking_P0312-0317_T16
284,1968,20.10.15 nh04-1 HUMAN_SDG_1014_PARKING Parking_P0320-0325_T16
286,1915,20.10.15 nh05-1 HUMAN_SDG_1014_PARKING Parking_P0342-0347_T16
287,2283,20.10.15 dw01-1 HUMAN_SDG_1014_PARKING Parking_P0351-0356_T16
288,2309,20.10.15 dw02-1 HUMAN_SDG_1014_PARKING Parking_P0359-0404_T16
289,2246,20.10.15 nh02-2 HUMAN_SDG_1014_PARKING Parking_P0427-0432_T16
290,2098,20.10.15 nh03-2 HUMAN_SDG_1014_PARKING Parking_P0433-0438_T16
291,2107,20.10.15 nh04-2 HUMAN_SDG_1014_PARKING Parking_P0439-0444_T16
292,2102,20.10.15 nh05-2 HUMAN_SDG_1014_PARKING Parking_P0448-0453_T16
293,2142,20.10.15 dw01-2 HUMAN_SDG_1014_PARKING Parking_P0454-0459_T16
295,2494,20.10.15 dw02-2 CAR_CD_1014_ROAD Cheomdan_P0317-0322_T16
296,746,20.10.15 nh02-3 CAR_CD_1014_ROAD Cheomdan_P0322-0327_T16
297,1259,20.10.15 nh03-3 CAR_CD_1014_ROAD Cheomdan_P0327-0332_T16
298,1285,20.10.15 nh04-3 CAR_CD_1014_ROAD Cheomdan_P0333-0338_T16
299,1231,20.10.15 nh05-3 CAR_CD_1014_ROAD Cheomdan_P0338-0343_T16
300,1175,20.10.15 dw01-3 CAR_CD_1014_ROAD Cheomdan_P0346-0351_T16
301,1201,20.10.15 dw02-3 CAR_CD_1014_ROAD Cheomdan_P0351-0356_T16
302,2143,20.10.15 nh02-4 CAR_CD_1014_ROAD Cheomdan_P0357-0342_T16
303,1742,20.10.15 nh03-4 CAR_CD_1014_ROAD Cheomdan_P0402-0407_T16
304,2674,20.10.15 nh04-4 CAR_CD_1014_ROAD Cheomdan_P0408-0413_T16
305,2588,20.10.15 nh05-4 CAR_CD_1014_ROAD Cheomdan_P0414-0419_T16
306,1216,20.10.15 dw01-4 CAR_CD_1014_ROAD Cheomdan_P0419-0424_T16
307,1156,20.10.15 dw02-4 CAR_CD_1014_ROAD Cheomdan_P0425-0430_T16
308,1463,20.10.15 nh02-5 CAR_CD_1014_ROAD Cheomdan_A0928-0923_T18
309,2517,20.10.15 nh03-5 CAR_CD_1014_ROAD Cheomdan_A0934-0939_T18
310,1066,20.10.15 nh05-5 CAR_CD_1014_ROAD Cheomdan_A0946-0951_T18
312,1164,20.10.15 dw01-5 CAR_CD_1014_ROAD Cheomdan_A0952-0957_T18
313,1274,20.10.15 dw02-5 CAR_CD_1014_ROAD Cheomdan_A1004-1009_T18
314,1269,20.10.15 dw02-6 CAR_CD_1014_ROAD Cheomdan_A1010-1015_T18
315,1105,20.10.15 nh02-6 CAR_CD_1014_ROAD Cheomdan_A0940-0945_T18
316,1750,20.10.15 nh03-6 CAR_CD_1014_ROAD Cheomdan_A0947-0952_T18
317,1869,20.10.15 nh05-6 CAR_CD_1014_ROAD Cheomdan_A0953-0958_T18
318,1935,20.10.15 dw01-6 CAR_CD_1014_ROAD Cheomdan_A0958-1003_T18
319,1662,20.10.15 dw02-7 CAR_CD_1014_ROAD Cheomdan_A1003-1008_T18
320,1851,20.10.15 dw02-8 CAR_CD_1015_ROAD Cheomdan_A1009-1014_T18
322,1340,20.10.16 nh02-1 CAR_CD_1015_ROAD Cheomdan_A1015-1020_T18
324,1673,20.10.16 nh03-1 CAR_CD_1015_ROAD Cheomdan_A1020-1025_T18
325,1391,20.10.16 dw01-1 CAR_CD_1015_ROAD Cheomdan_A1027-1032_T18
326,2555,20.10.16 nh05-1 CAR_CD_1015_ROAD Cheomdan_A1033-1038_T18
327,2658,20.10.16 dw02-1 CAR_CD_1015_ROAD Cheomdan_A1039-1044_T18
328,839,20.10.16 us01-1 CAR_CD_1015_ROAD Cheomdan_A1045-1050_T18
329,2863,20.10.16 nh02-2 CAR_CD_1015_ROAD Cheomdan_A1056-1101_T18
330,1276,20.10.16 nh03-2 CAR_CD_1015_ROAD Cheomdan_A1102-1107_T18
331,3813,20.10.16 nh05-2 CAR_CD_1015_ROAD Cheomdan_A1107-1112_T18
332,3670,20.10.16 dw01-2 CAR_CD_1015_ROAD Cheomdan_A1113-1118_T18
333,3025,20.10.16 dw02-2 CAR_CD_1015_ROAD Cheomdan_A1119-1124_T18
334,54270,SW cluster_AIHUB
335,2666,20.10.16 us01-2 CAR_CD_1015_ROAD Cheomdan_A1151-1156_T18
336,2039,20.10.16 nh02-3 HUMAN_SDG_1015_PARKING Parking_A0919-0924_T16
337,2208,20.10.16 nh03-3 HUMAN_SDG_1015_PARKING Parking_A0927-0932_T16
338,2153,20.10.16 nh05-3 HUMAN_SDG_1015_PARKING Parking_A0935-0940_T16
339,2154,20.10.16 dw01-3 HUMAN_SDG_1015_PARKING Parking_A0942-0947_T16
